experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
many-models,logistics,31-packages,gemini-thinking,sanity_check,1,3,4,2570.5,,0.75,0.75
only-gemini-thinking,logistics,31-packages,gemini-thinking,sanity_check,1,3,4,2570.5,,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,random_new_landmark,1,0,4,3485.0,117.0,0.0,0.0
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,random_landmark,1,1,4,2330.5,117.0,0.25,0.25
many-models,logistics,31-packages,gemini-thinking,pddl,1,0,4,2571.75,,0.0,0.0
only-gemini-thinking,logistics,31-packages,gemini-thinking,pddl,1,0,4,2571.75,,0.0,0.0
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,pddl,1,3,4,2404.75,,0.75,0.75
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,pddl,1,1,4,2628.25,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,new_landmark,1,3,4,2327.25,117.0,0.75,0.75
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,new_landmark,1,1,4,2573.5,117.0,0.25,0.25
many-models,logistics,31-packages,gemini-thinking,landmark,1,1,4,2448.5,117.0,0.25,0.25
only-gemini-thinking,logistics,31-packages,gemini-thinking,landmark,1,1,4,2448.5,117.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,landmark,1,1,4,2569.0,117.0,0.25,0.25
many-models,miconic,4-passenger,gemini-2.0-flash-lite,pddl,1,0,4,143.0,,0.0,0.0
many-models,miconic,4-passenger,gemini-2.0-flash-lite,landmark,1,0,4,108.33333333333333,8.0,0.0,0.0
many-models,miconic,4-passenger,gemini-2.5-flash-lite,pddl,1,0,4,207.0,,0.0,0.0
many-models,miconic,4-passenger,gemini-2.5-flash-lite,landmark,1,0,4,157.0,8.0,0.0,0.0
many-models,miconic,4-passenger,gemini-2.5-flash-lite-thinking,pddl,1,3,4,161.0,,0.75,0.75
many-models,miconic,4-passenger,gemini-2.5-flash-lite-thinking,landmark,1,4,4,221.0,8.0,1.0,1.0
many-models,miconic,4-passenger,gemini-thinking,sanity_check,1,4,4,139.0,,1.0,1.0
only-gemini-thinking,miconic,4-passenger,gemini-thinking,sanity_check,1,4,4,139.0,,1.0,1.0
many-models,miconic,4-passenger,gemini-thinking,pddl,1,3,4,131.0,,0.75,0.75
only-gemini-thinking,miconic,4-passenger,gemini-thinking,pddl,1,3,4,131.0,,0.75,0.75
many-models,miconic,4-passenger,gemini-thinking,landmark,1,4,4,147.0,8.0,1.0,1.0
only-gemini-thinking,miconic,4-passenger,gemini-thinking,landmark,1,4,4,147.0,8.0,1.0,1.0
many-models,miconic,8-passenger,gemini-2.0-flash-lite,pddl,1,0,4,280.5,,0.0,0.0
many-models,miconic,8-passenger,gemini-2.0-flash-lite,landmark,1,0,4,997.3333333333334,16.0,0.0,0.0
many-models,miconic,8-passenger,gemini-2.5-flash-lite,pddl,1,0,4,870.0,,0.0,0.0
many-models,miconic,8-passenger,gemini-2.5-flash-lite,landmark,1,0,4,302.0,16.0,0.0,0.0
many-models,miconic,8-passenger,gemini-2.5-flash-lite-thinking,pddl,1,3,4,369.5,,0.75,0.75
many-models,miconic,8-passenger,gemini-2.5-flash-lite-thinking,landmark,1,3,4,498.3333333333333,16.0,0.75,0.75
many-models,miconic,8-passenger,gemini-thinking,sanity_check,1,4,4,245.5,,1.0,1.0
only-gemini-thinking,miconic,8-passenger,gemini-thinking,sanity_check,1,4,4,245.5,,1.0,1.0
many-models,miconic,8-passenger,gemini-thinking,pddl,1,4,4,332.5,,1.0,1.0
only-gemini-thinking,miconic,8-passenger,gemini-thinking,pddl,1,4,4,332.5,,1.0,1.0
many-models,miconic,8-passenger,gemini-thinking,landmark,1,4,4,264.75,16.0,1.0,1.0
only-gemini-thinking,miconic,8-passenger,gemini-thinking,landmark,1,4,4,264.75,16.0,1.0,1.0
many-models,miconic,12-passenger,gemini-2.0-flash-lite,pddl,1,0,4,426.0,,0.0,0.0
many-models,miconic,12-passenger,gemini-2.0-flash-lite,landmark,1,0,4,429.0,24.0,0.0,0.0
many-models,miconic,12-passenger,gemini-2.5-flash-lite,pddl,1,0,4,1382.0,,0.0,0.0
many-models,miconic,12-passenger,gemini-2.5-flash-lite,landmark,1,0,4,841.5,24.0,0.0,0.0
many-models,miconic,12-passenger,gemini-2.5-flash-lite-thinking,pddl,1,1,4,1742.0,,0.25,0.25
many-models,miconic,12-passenger,gemini-2.5-flash-lite-thinking,landmark,1,1,4,1198.0,24.0,0.25,0.25
many-models,miconic,12-passenger,gemini-thinking,sanity_check,1,4,4,369.0,,1.0,1.0
only-gemini-thinking,miconic,12-passenger,gemini-thinking,sanity_check,1,4,4,369.0,,1.0,1.0
many-models,miconic,12-passenger,gemini-thinking,pddl,1,4,4,433.5,,1.0,1.0
only-gemini-thinking,miconic,12-passenger,gemini-thinking,pddl,1,4,4,433.5,,1.0,1.0
many-models,miconic,12-passenger,gemini-thinking,landmark,1,4,4,501.5,24.0,1.0,1.0
only-gemini-thinking,miconic,12-passenger,gemini-thinking,landmark,1,4,4,501.5,24.0,1.0,1.0
many-models,miconic,16-passenger,gemini-2.0-flash-lite,pddl,1,0,4,2099.3333333333335,,0.0,0.0
many-models,miconic,16-passenger,gemini-2.0-flash-lite,landmark,1,0,4,690.5,32.0,0.0,0.0
many-models,miconic,16-passenger,gemini-2.5-flash-lite,pddl,1,0,4,2421.0,,0.0,0.0
many-models,miconic,16-passenger,gemini-2.5-flash-lite,landmark,1,0,4,767.75,32.0,0.0,0.0
many-models,miconic,16-passenger,gemini-2.5-flash-lite-thinking,pddl,1,1,4,2533.75,,0.25,0.25
many-models,miconic,16-passenger,gemini-2.5-flash-lite-thinking,landmark,1,0,4,2758.0,32.0,0.0,0.0
many-models,miconic,16-passenger,gemini-thinking,sanity_check,1,4,4,518.25,,1.0,1.0
only-gemini-thinking,miconic,16-passenger,gemini-thinking,sanity_check,1,4,4,518.25,,1.0,1.0
many-models,miconic,16-passenger,gemini-thinking,pddl,1,2,4,662.75,,0.5,0.5
only-gemini-thinking,miconic,16-passenger,gemini-thinking,pddl,1,2,4,662.75,,0.5,0.5
many-models,miconic,16-passenger,gemini-thinking,landmark,1,4,4,674.0,32.0,1.0,1.0
only-gemini-thinking,miconic,16-passenger,gemini-thinking,landmark,1,4,4,674.0,32.0,1.0,1.0
many-models,miconic,20-passenger,gemini-2.0-flash-lite,pddl,1,0,4,752.0,,0.0,0.0
many-models,miconic,20-passenger,gemini-2.0-flash-lite,landmark,1,0,4,546.5,40.0,0.0,0.0
many-models,miconic,20-passenger,gemini-2.5-flash-lite,pddl,1,0,4,2534.3333333333335,,0.0,0.0
many-models,miconic,20-passenger,gemini-2.5-flash-lite,landmark,1,0,4,1009.6666666666666,40.0,0.0,0.0
many-models,miconic,20-passenger,gemini-2.5-flash-lite-thinking,pddl,1,1,4,2632.0,,0.25,0.25
many-models,miconic,20-passenger,gemini-2.5-flash-lite-thinking,landmark,1,1,4,1688.25,40.0,0.25,0.25
many-models,miconic,20-passenger,gemini-thinking,sanity_check,1,4,4,756.0,,1.0,1.0
only-gemini-thinking,miconic,20-passenger,gemini-thinking,sanity_check,1,4,4,756.0,,1.0,1.0
many-models,miconic,20-passenger,gemini-thinking,pddl,1,3,4,667.5,,0.75,0.75
only-gemini-thinking,miconic,20-passenger,gemini-thinking,pddl,1,3,4,667.5,,0.75,0.75
many-models,miconic,20-passenger,gemini-thinking,landmark,1,4,4,771.0,40.0,1.0,1.0
only-gemini-thinking,miconic,20-passenger,gemini-thinking,landmark,1,4,4,771.0,40.0,1.0,1.0
many-models,miconic,24-passenger,gemini-thinking,sanity_check,1,4,4,920.75,,1.0,1.0
only-gemini-thinking,miconic,24-passenger,gemini-thinking,sanity_check,1,4,4,920.75,,1.0,1.0
many-models,miconic,24-passenger,gemini-thinking,pddl,1,3,4,1185.75,,0.75,0.75
only-gemini-thinking,miconic,24-passenger,gemini-thinking,pddl,1,3,4,1185.75,,0.75,0.75
many-models,miconic,24-passenger,gemini-thinking,landmark,1,4,4,1177.75,48.0,1.0,1.0
only-gemini-thinking,miconic,24-passenger,gemini-thinking,landmark,1,4,4,1177.75,48.0,1.0,1.0
many-models,miconic,28-passenger,gemini-thinking,sanity_check,1,4,4,1254.75,,1.0,1.0
only-gemini-thinking,miconic,28-passenger,gemini-thinking,sanity_check,1,4,4,1254.75,,1.0,1.0
many-models,miconic,28-passenger,gemini-thinking,pddl,1,3,4,1253.25,,0.75,0.75
only-gemini-thinking,miconic,28-passenger,gemini-thinking,pddl,1,3,4,1253.25,,0.75,0.75
many-models,miconic,28-passenger,gemini-thinking,landmark,1,4,4,1408.75,56.0,1.0,1.0
only-gemini-thinking,miconic,28-passenger,gemini-thinking,landmark,1,4,4,1408.75,56.0,1.0,1.0
many-models,miconic,32-passenger,gemini-thinking,sanity_check,1,1,4,1474.0,,0.25,0.25
only-gemini-thinking,miconic,32-passenger,gemini-thinking,sanity_check,1,1,4,1474.0,,0.25,0.25
many-models,miconic,32-passenger,gemini-thinking,pddl,1,4,4,1301.25,,1.0,1.0
only-gemini-thinking,miconic,32-passenger,gemini-thinking,pddl,1,4,4,1301.25,,1.0,1.0
pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,pddl,1,1,4,1840.0,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,pddl,1,1,4,1459.0,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,new_landmark,1,4,4,1438.75,64.0,1.0,1.0
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,new_landmark,1,2,4,1466.0,64.0,0.5,0.5
many-models,miconic,32-passenger,gemini-thinking,landmark,1,4,4,1637.75,64.0,1.0,1.0
only-gemini-thinking,miconic,32-passenger,gemini-thinking,landmark,1,4,4,1637.75,64.0,1.0,1.0
pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,pddl,1,2,4,6093.5,,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,pddl,1,4,4,1459.75,,1.0,1.0
pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,new_landmark,1,2,4,1676.75,72.0,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,new_landmark,1,2,4,1876.25,72.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,pddl,1,1,4,1745.0,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,pddl,1,1,4,1785.75,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,new_landmark,1,1,4,2095.0,80.0,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,new_landmark,1,1,4,1899.25,80.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,pddl,1,2,4,1956.75,,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,pddl,1,1,4,1877.5,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,new_landmark,1,1,4,2086.25,88.0,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,new_landmark,1,3,4,2011.75,88.0,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,pddl,1,1,4,2237.5,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,pddl,1,0,4,2444.0,,0.0,0.0
pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,new_landmark,1,2,4,2224.25,96.0,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,new_landmark,1,1,4,2490.0,96.0,0.25,0.25
many-models,minigrid,1-shape,gemini-thinking,sanity_check,1,3,4,132.25,,0.75,0.75
only-gemini-thinking,minigrid,1-shape,gemini-thinking,sanity_check,1,3,4,132.25,,0.75,0.75
many-models,minigrid,1-shape,gemini-thinking,pddl,1,4,4,131.0,,1.0,1.0
only-gemini-thinking,minigrid,1-shape,gemini-thinking,pddl,1,4,4,131.0,,1.0,1.0
many-models,minigrid,1-shape,gemini-thinking,landmark,1,4,4,136.0,7.5,1.0,1.0
only-gemini-thinking,minigrid,1-shape,gemini-thinking,landmark,1,4,4,136.0,7.5,1.0,1.0
many-models,minigrid,2-shape,gemini-thinking,sanity_check,1,3,4,154.25,,0.75,0.75
only-gemini-thinking,minigrid,2-shape,gemini-thinking,sanity_check,1,3,4,154.25,,0.75,0.75
many-models,minigrid,2-shape,gemini-thinking,pddl,1,4,4,165.25,,1.0,1.0
only-gemini-thinking,minigrid,2-shape,gemini-thinking,pddl,1,4,4,165.25,,1.0,1.0
many-models,minigrid,2-shape,gemini-thinking,landmark,1,3,4,178.25,8.25,0.75,0.75
only-gemini-thinking,minigrid,2-shape,gemini-thinking,landmark,1,3,4,178.25,8.25,0.75,0.75
many-models,minigrid,3-shape,gemini-thinking,sanity_check,1,3,4,148.5,,0.75,0.75
only-gemini-thinking,minigrid,3-shape,gemini-thinking,sanity_check,1,3,4,148.5,,0.75,0.75
many-models,minigrid,3-shape,gemini-thinking,pddl,1,3,4,163.25,,0.75,0.75
only-gemini-thinking,minigrid,3-shape,gemini-thinking,pddl,1,3,4,163.25,,0.75,0.75
many-models,minigrid,3-shape,gemini-thinking,landmark,1,4,4,170.0,8.0,1.0,1.0
only-gemini-thinking,minigrid,3-shape,gemini-thinking,landmark,1,4,4,170.0,8.0,1.0,1.0
many-models,minigrid,4-shape,gemini-thinking,sanity_check,1,2,4,141.0,,0.5,0.5
only-gemini-thinking,minigrid,4-shape,gemini-thinking,sanity_check,1,2,4,141.0,,0.5,0.5
many-models,minigrid,4-shape,gemini-thinking,pddl,1,3,4,206.0,,0.75,0.75
only-gemini-thinking,minigrid,4-shape,gemini-thinking,pddl,1,3,4,206.0,,0.75,0.75
many-models,minigrid,4-shape,gemini-thinking,landmark,1,4,4,173.0,7.75,1.0,1.0
only-gemini-thinking,minigrid,4-shape,gemini-thinking,landmark,1,4,4,173.0,7.75,1.0,1.0
many-models,minigrid,5-shape,gemini-thinking,sanity_check,1,3,4,130.0,,0.75,0.75
only-gemini-thinking,minigrid,5-shape,gemini-thinking,sanity_check,1,3,4,130.0,,0.75,0.75
many-models,minigrid,5-shape,gemini-thinking,pddl,1,4,4,163.0,,1.0,1.0
only-gemini-thinking,minigrid,5-shape,gemini-thinking,pddl,1,4,4,163.0,,1.0,1.0
many-models,minigrid,5-shape,gemini-thinking,landmark,1,4,4,171.75,6.75,1.0,1.0
only-gemini-thinking,minigrid,5-shape,gemini-thinking,landmark,1,4,4,171.75,6.75,1.0,1.0
many-models,spanner,4-spanners,gemini-2.0-flash-lite,pddl,1,0,4,235.5,,0.0,0.0
many-models,spanner,4-spanners,gemini-2.0-flash-lite,landmark,1,0,4,307.0,6.0,0.0,0.0
many-models,spanner,4-spanners,gemini-2.5-flash-lite,pddl,1,1,4,205.75,,0.25,0.25
many-models,spanner,4-spanners,gemini-2.5-flash-lite,landmark,1,0,4,199.0,6.0,0.0,0.0
many-models,spanner,4-spanners,gemini-2.5-flash-lite-thinking,pddl,1,0,4,323.0,,0.0,0.0
many-models,spanner,4-spanners,gemini-2.5-flash-lite-thinking,landmark,1,0,4,322.5,6.0,0.0,0.0
many-models,spanner,4-spanners,gemini-thinking,sanity_check,1,4,4,167.0,,1.0,1.0
only-gemini-thinking,spanner,4-spanners,gemini-thinking,sanity_check,1,4,4,167.0,,1.0,1.0
many-models,spanner,4-spanners,gemini-thinking,pddl,1,3,4,201.5,,0.75,0.75
only-gemini-thinking,spanner,4-spanners,gemini-thinking,pddl,1,3,4,201.5,,0.75,0.75
many-models,spanner,4-spanners,gemini-thinking,landmark,1,3,4,192.5,6.0,0.75,0.75
only-gemini-thinking,spanner,4-spanners,gemini-thinking,landmark,1,3,4,192.5,6.0,0.75,0.75
many-models,spanner,8-spanners,gemini-2.0-flash-lite,pddl,1,0,4,452.6666666666667,,0.0,0.0
many-models,spanner,8-spanners,gemini-2.0-flash-lite,landmark,1,0,4,473.3333333333333,10.0,0.0,0.0
many-models,spanner,8-spanners,gemini-2.5-flash-lite,pddl,1,0,4,450.25,,0.0,0.0
many-models,spanner,8-spanners,gemini-2.5-flash-lite,landmark,1,0,4,476.5,10.0,0.0,0.0
many-models,spanner,8-spanners,gemini-2.5-flash-lite-thinking,pddl,1,0,4,945.0,,0.0,0.0
many-models,spanner,8-spanners,gemini-2.5-flash-lite-thinking,landmark,1,1,4,519.25,10.0,0.25,0.25
many-models,spanner,8-spanners,gemini-thinking,sanity_check,1,4,4,311.0,,1.0,1.0
only-gemini-thinking,spanner,8-spanners,gemini-thinking,sanity_check,1,4,4,311.0,,1.0,1.0
many-models,spanner,8-spanners,gemini-thinking,pddl,1,2,4,610.0,,0.5,0.5
only-gemini-thinking,spanner,8-spanners,gemini-thinking,pddl,1,2,4,610.0,,0.5,0.5
many-models,spanner,8-spanners,gemini-thinking,landmark,1,2,4,673.0,10.0,0.5,0.5
only-gemini-thinking,spanner,8-spanners,gemini-thinking,landmark,1,2,4,673.0,10.0,0.5,0.5
many-models,spanner,12-spanners,gemini-2.0-flash-lite,pddl,1,0,4,620.75,,0.0,0.0
many-models,spanner,12-spanners,gemini-2.0-flash-lite,landmark,1,0,4,370.5,14.0,0.0,0.0
many-models,spanner,12-spanners,gemini-2.5-flash-lite,pddl,1,0,4,1793.5,,0.0,0.0
many-models,spanner,12-spanners,gemini-2.5-flash-lite,landmark,1,0,4,849.25,14.0,0.0,0.0
many-models,spanner,12-spanners,gemini-2.5-flash-lite-thinking,pddl,1,0,4,1956.75,,0.0,0.0
many-models,spanner,12-spanners,gemini-2.5-flash-lite-thinking,landmark,1,1,4,1661.75,14.0,0.25,0.25
many-models,spanner,12-spanners,gemini-thinking,sanity_check,1,4,4,475.75,,1.0,1.0
only-gemini-thinking,spanner,12-spanners,gemini-thinking,sanity_check,1,4,4,475.75,,1.0,1.0
many-models,spanner,12-spanners,gemini-thinking,pddl,1,2,4,1224.25,,0.5,0.5
only-gemini-thinking,spanner,12-spanners,gemini-thinking,pddl,1,2,4,1224.25,,0.5,0.5
many-models,spanner,12-spanners,gemini-thinking,landmark,1,3,4,771.75,14.0,0.75,0.75
only-gemini-thinking,spanner,12-spanners,gemini-thinking,landmark,1,3,4,771.75,14.0,0.75,0.75
many-models,spanner,16-spanners,gemini-2.0-flash-lite,pddl,1,0,4,757.6666666666666,,0.0,0.0
many-models,spanner,16-spanners,gemini-2.0-flash-lite,landmark,1,0,4,1507.0,18.0,0.0,0.0
many-models,spanner,16-spanners,gemini-2.5-flash-lite,pddl,1,0,4,2579.6666666666665,,0.0,0.0
many-models,spanner,16-spanners,gemini-2.5-flash-lite,landmark,1,0,4,2425.0,18.0,0.0,0.0
many-models,spanner,16-spanners,gemini-2.5-flash-lite-thinking,pddl,1,0,4,3395.75,,0.0,0.0
many-models,spanner,16-spanners,gemini-2.5-flash-lite-thinking,landmark,1,0,4,2625.5,18.0,0.0,0.0
many-models,spanner,16-spanners,gemini-thinking,sanity_check,1,4,4,643.25,,1.0,1.0
only-gemini-thinking,spanner,16-spanners,gemini-thinking,sanity_check,1,4,4,643.25,,1.0,1.0
many-models,spanner,16-spanners,gemini-thinking,pddl,1,1,4,1351.25,,0.25,0.25
only-gemini-thinking,spanner,16-spanners,gemini-thinking,pddl,1,1,4,1351.25,,0.25,0.25
many-models,spanner,16-spanners,gemini-thinking,landmark,1,4,4,643.25,18.0,1.0,1.0
only-gemini-thinking,spanner,16-spanners,gemini-thinking,landmark,1,4,4,643.25,18.0,1.0,1.0
many-models,spanner,20-spanners,gemini-2.0-flash-lite,pddl,1,0,4,687.5,,0.0,0.0
many-models,spanner,20-spanners,gemini-2.0-flash-lite,landmark,1,0,4,1958.5,22.0,0.0,0.0
many-models,spanner,20-spanners,gemini-2.5-flash-lite,pddl,1,0,4,478.5,,0.0,0.0
many-models,spanner,20-spanners,gemini-2.5-flash-lite,landmark,1,0,4,1099.0,22.0,0.0,0.0
many-models,spanner,20-spanners,gemini-2.5-flash-lite-thinking,pddl,1,0,4,4018.25,,0.0,0.0
many-models,spanner,20-spanners,gemini-2.5-flash-lite-thinking,landmark,1,1,4,4089.25,22.0,0.25,0.25
many-models,spanner,20-spanners,gemini-thinking,sanity_check,1,4,4,811.25,,1.0,1.0
only-gemini-thinking,spanner,20-spanners,gemini-thinking,sanity_check,1,4,4,811.25,,1.0,1.0
many-models,spanner,20-spanners,gemini-thinking,pddl,1,1,4,3978.25,,0.25,0.25
only-gemini-thinking,spanner,20-spanners,gemini-thinking,pddl,1,1,4,3978.25,,0.25,0.25
many-models,spanner,20-spanners,gemini-thinking,landmark,1,2,4,3164.5,22.0,0.5,0.5
only-gemini-thinking,spanner,20-spanners,gemini-thinking,landmark,1,2,4,3164.5,22.0,0.5,0.5
